x	y	set
0.0928760718052217	0.0589409474476896	3
0.0889918693812443	0.064656377752172	1
0.0889918693812443	0.064656377752172	2
0.0889918693812443	0.064656377752172	3
0.0847564567053368	0.0701166388723559	1
0.0847564567053368	0.0701166388723559	2
0.0847564567053368	0.0701166388723559	3
0.0801865490163554	0.0753001816521557	1
0.0801865490163554	0.0753001816521557	2
0.0801865490163554	0.0753001816521557	3
0.0753001816521558	0.0801865490163552	1
0.0753001816521558	0.0801865490163552	2
0.0753001816521558	0.0801865490163552	3
0.0701166388723559	0.0847564567053368	1
0.0701166388723559	0.0847564567053368	2
0.0701166388723559	0.0847564567053368	3
0.064656377752172	0.0889918693812441	1
0.064656377752172	0.0889918693812441	2
0.064656377752172	0.0889918693812441	3
0.0589409474476896	0.0928760718052217	1
0.0589409474476896	0.0928760718052217	2
0.0589409474476896	0.0928760718052217	3
0.0529929041511887	0.0963937348048249	1
0.0529929041511887	0.0963937348048249	2
0.0529929041511887	0.0963937348048249	3
0.0468357220721579	0.0995309757712621	1
0.0468357220721579	0.0995309757712621	2
0.0468357220721579	0.0995309757712621	3
0.0404937007953146	0.102275413447708	1
0.0404937007953146	0.102275413447708	2
0.0404937007953146	0.102275413447708	3
0.0339918693812442	0.104616216792467	1
0.0339918693812442	0.104616216792467	2
0.0339918693812442	0.104616216792467	3
0.027355887588134	0.106544147724149	1
0.027355887588134	0.106544147724149	2
0.027355887588134	0.106544147724149	3
0.0206119446044297	0.108051597580156	1
0.0206119446044297	0.108051597580156	2
0.0206119446044297	0.108051597580156	3
0.0137866556920735	0.109132617144593	1
0.0137866556920735	0.109132617144593	2
0.0137866556920735	0.109132617144593	3
0.00690695714822442	0.10978294012711	1
0.00690695714822442	0.10978294012711	2
0.00690695714822442	0.10978294012711	3
0	0.11	1
0	0.11	2
0	0.11	3
-0.00690695714822442	0.10978294012711	1
-0.00690695714822442	0.10978294012711	2
-0.00690695714822442	0.10978294012711	3
-0.0137866556920735	0.109132617144593	1
-0.0137866556920735	0.109132617144593	2
-0.0137866556920735	0.109132617144593	3
-0.0206119446044297	0.108051597580156	1
-0.0206119446044297	0.108051597580156	2
-0.0206119446044297	0.108051597580156	3
-0.027355887588134	0.106544147724149	1
-0.027355887588134	0.106544147724149	2
-0.027355887588134	0.106544147724149	3
