x	y	set
0.01	0.0165334481060311	1
0.11	0.0136944764359455	4
0.21	0.0115322622073495	4
0.31	0.00984609137148351	4
0.41	0.00850583772782576	4
0.51	0.00742401951665814	4
0.61	0.00654088477342187	2
0.71	0.00581782484321451	4
0.81	0.00524594568852586	3
0.91	0.00501584440817398	4
