x	y	set
0.160748574320494	-0.25329922197853	2
0.176336163472994	-0.242705907329479	2
0.191227834348597	-0.23115474334598	2
0.205364816325713	-0.218691317195051	2
0.218691317195051	-0.205364816325713	2
0.23115474334598	-0.191227834348597	2
0.242705907329479	-0.176336163472994	2
0.25329922197853	-0.160748574320494	2
0.262892880319839	-0.144526583984189	2
0.271449020566858	-0.127734213248813	2
0.278933875542961	-0.110437733929956	2
0.285317905945062	-0.0927054073294786	2
0.29057591692175	-0.0746072148393437	2
0.294687157505857	-0.056214581757032	2
0.297635402509045	-0.037600095402525	2
0.29940901655521	-0.0188372186493136	2
0.300001	-5.55111512312578e-17	2
0.29940901655521	0.0188372186493135	2
0.297635402509045	0.0376000954025248	2
0.294687157505857	0.056214581757032	2
0.29057591692175	0.0746072148393435	2
0.285317905945062	0.0927054073294786	2
0.278933875542961	0.110437733929956	2
0.271449020566858	0.127734213248813	2
0.262892880319839	0.144526583984189	2
0.25329922197853	0.160748574320494	2
0.242705907329479	0.176336163472994	2
0.23115474334598	0.191227834348597	2
0.218691317195051	0.205364816325712	2
0.205364816325713	0.218691317195051	2
0.191227834348597	0.23115474334598	2
0.176336163472994	0.242705907329479	2
-0.294687157505857	0.056214581757032	2
-0.297635402509045	0.037600095402525	2
-0.29940901655521	0.0188372186493135	2
-0.449113025819451	-0.0282557965787105	2
-0.446452607706216	-0.0564000804371705	2
-0.442030245115161	-0.0843217789448907	2
-0.435863391091045	-0.111910697914072	2
-0.427976383389335	-0.139057956485721	2
-0.418400348426199	-0.165656416832658	2
-0.407173078436761	-0.191601106983574	2
-0.394338882326419	-0.216789635099446	2
-0.379948410803832	-0.241122593567343	2
-0.364058456485721	-0.264503951316865	2
-0.346731729762348	-0.2868414328109	2
-0.328036611308263	-0.308046882215016	2
-0.308046882215016	-0.328036611308263	2
-0.2868414328109	-0.346731729762348	2
-0.264503951316865	-0.364058456485721	2
-0.241122593567343	-0.379948410803832	2
-0.216789635099446	-0.394338882326419	2
-0.191601106983574	-0.407173078436761	2
-0.165656416832658	-0.418400348426199	2
-0.139057956485721	-0.427976383389335	2
-0.111910697914072	-0.435863391091045	2
-0.0843217789448907	-0.442030245115161	2
-0.0564000804371706	-0.446452607706216	2
-0.0282557965787106	-0.449113025819451	2
0	-0.450001	2
0.0282557965787106	-0.449113025819451	2
0.0564000804371704	-0.446452607706216	2
0.0843217789448907	-0.442030245115161	2
0.111910697914072	-0.435863391091045	2
0.139057956485721	-0.427976383389335	2
0.165656416832658	-0.418400348426199	2
0.191601106983574	-0.407173078436761	2
0.216789635099446	-0.394338882326419	2
0.241122593567344	-0.379948410803832	2
0.264503951316865	-0.364058456485721	2
0.2868414328109	-0.346731729762348	2
0.308046882215016	-0.328036611308263	2
-0.595269812903388	-0.0752000654718161	2
-0.589373332724464	-0.112428976132749	2
-0.58115086526034	-0.1492141809888	2
-0.570634860833608	-0.185410505641963	2
-0.557866821309437	-0.220875099735359	2
-0.542897136306664	-0.255468000718335	2
-0.525784884332998	-0.289052686214703	2
-0.506597599629135	-0.321496612814193	2
-0.485411005641963	-0.352671739160736	2
-0.462308716178716	-0.382455031273203	2
-0.437381905421474	-0.410728948104319	2
-0.410728948104319	-0.437381905421474	2
-0.382455031273204	-0.462308716178716	2
-0.352671739160736	-0.485411005641963	2
-0.321496612814193	-0.506597599629135	2
-0.289052686214703	-0.525784884332998	2
-0.255468000718335	-0.542897136306664	2
-0.22087509973536	-0.557866821309437	2
-0.185410505641963	-0.570634860833608	2
-0.1492141809888	-0.58115086526034	2
-0.112428976132749	-0.589373332724464	2
-0.0752000654718162	-0.595269812903388	2
-0.0376743745081076	-0.598817035083691	2
-5.55111512312578e-17	-0.600001	2
0.0376743745081076	-0.598817035083691	2
0.0752000654718161	-0.595269812903388	2
0.112428976132749	-0.589373332724464	2
0.1492141809888	-0.58115086526034	2
0.185410505641963	-0.570634860833608	2
0.220875099735359	-0.557866821309437	2
0.255468000718335	-0.542897136306664	2
0.289052686214703	-0.525784884332998	2
-0.736716420333767	-0.140536173320608	2
-0.726438339429634	-0.186517664063528	2
-0.713293338277881	-0.231763054798205	2
-0.697333294192675	-0.276093782638061	2
-0.678621194176567	-0.319334894453096	2
-0.657230886339578	-0.361315737329961	2
-0.633246788454437	-0.401870632061042	2
-0.606763554798205	-0.440839527004607	2
-0.577885702595085	-0.478068629735507	2
-0.546727199534686	-0.513411013993622	2
-0.513411013993623	-0.546727199534686	2
-0.478068629735507	-0.577885702595085	2
-0.440839527004607	-0.606763554798205	2
-0.401870632061042	-0.633246788454437	2
-0.36131573732996	-0.657230886339578	2
-0.319334894453096	-0.678621194176567	2
-0.276093782638061	-0.697333294192674	2
-0.231763054798205	-0.713293338277882	2
-0.186517664063528	-0.726438339429634	2
-0.140536173320608	-0.736716420333767	2
-0.0940000505064619	-0.74408701810056	2
-0.0470929524375047	-0.748521044347932	2
-5.55111512312578e-17	-0.750001	2
0.0470929524375046	-0.748521044347932	2
0.0940000505064617	-0.74408701810056	2
0.140536173320608	-0.736716420333767	2
0.186517664063528	-0.726438339429634	2
0.231763054798205	-0.713293338277882	2
0.276093782638061	-0.697333294192675	2
-0.871725813598929	-0.223821147138257	2
-0.855951815722155	-0.278115603954447	2
-0.836799767075912	-0.331312465540763	2
-0.81434525204647	-0.383201788187857	2
-0.788676888346157	-0.433578788445218	2
